Title,Console,Zone,Price,,,,,,,
Grandia II,dc,PAL,30,,,,,,,
Hydro Thunder,dc,PAL,5,,,,,,,
Mortal Kombat Gold,dc,PAL,15,,,,,,,
Sega Rally 2,dc,PAL,10,,,,,,,
Shenmue II,dc,PAL,100,,,,,,,
Silver,dc,PAL,15,,,,,,,
Sonic Adventure,dc,PAL,15,,,,,,,
Soul Calibur,dc,PAL,15,,,,,,,
Street Fighter III double impact,dc,PAL,55,,,,,,,
Street Fighter III third strike,dc ,PAL,75,,335,,,,,
Castlevania: Down of Sorrow,ds,PAL,25,,,,,,,
Castlevania: Order of Ecclesia,ds,PAL,30,,,,,,,
Castlevania: Portrait of Ruin,ds,PAL,25,,,,,,,
Diddy Kong Racing DS,ds,PAL,5,,,,,,,
Final Fantasy XI Revenant Wings,ds,PAL,30,blister,,,,,,
Jump Super Stars,ds,JP,15,,,,,,,
Mario Kart DS,ds,PAL,20,,435,,,,,
Metroid Prime Pinball,ds,PAL,20,,,,,,,
Metroid Prime: Hunters,ds,PAL,10,,,,,,,
New Super Mario Bros ,ds,PAL,20,,,,,,,
Rayman DS,ds,PAL,5,,,,,,,
Super Mario 64 DS,ds,JP,15,,,,,,,
The Legend of Zelda: Phantom Hourglass,ds,PAL,15,,,,,,,
Trauma Center Under the Knife,ds,PAL,10,,,,,,,
Castlevania double pack,gba,PAL,65,,,,,,,
Final Fantasy Tactics,gba,PAL,35,,,,,,,
Kingdom Hearts: Chains of Memory,gba,PAL,35,,,,,,,
Mario Kart Super Circuit,gba,PAL,5,,,,,,,
Mega Man Zero,gba,PAL,20,,205,,,,,
Metroid Fusion,gba,PAL,45,,,,,,,
Metroid Zero Mission,gba,PAL,35,,,,,,,
Street Fighter Alpha 3,gba,PAL,20,,,,,,,
The Legend of Zelda: The Minish Cap,gba,PAL,45,,,,,,,
The Legend of Zelda: Link's awakening,gbc,PAL,70,,,,,,,
The Legend of Zelda: Oracle of Seasons,gbc,PAL,60,,,,,,,
F Zero GX,gc,PAL,35,,,,,,,
Metroid Prime,gc,PAL,25,,,,,,,
Metroid Prime 2: Echoes,gc,PAL,25,,,,,,,
Naruto: Clash of Ninja,gc,JP,10,,,,,,,
Naruto: Clash of Ninja 2,gc,JP,10,,,,,,,
Naruto: Clash of Ninja 3,gc,JP,10,,,,,,,
Naruto: Clash of Ninja 4,gc,JP,25,,,,,,,
